author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
"Tami Luhby, CNN","A quarter of US nursing homes report at least one coronavirus infection, first official tally shows","Nearly 26,000 nursing home residents have died from coronavirus, according to federal data released Monday.",https://www.cnn.com/2020/06/01/politics/nursing-homes-us-cases-deaths-covid/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601185441-01-nursing-home-deaths-super-tease.jpg,2020-06-01T23:48:49Z,"(CNN)Nearly 26,000 nursing home residents have died from coronavirus, according to federal data released Monday.
One quarter of nursing homes had at least one case, and one in five had at least one … [+3010 chars]",cnn,CNN
"Theresa Waldrop, CNN",George Floyd's funeral to be held in Houston on June 9,"The funeral for George Floyd, who died while being arrested in Minneapolis last week, will be held June 9 in Houston, a family attorney said.",https://www.cnn.com/2020/06/01/us/george-floyd-funeral-june-9/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200527112315-03-george-floyd-super-tease.jpg,2020-06-01T23:33:09Z,"(CNN)The funeral for George Floyd, who died while being arrested in Minneapolis last week, will be held June 9 in Houston, a family attorney said.
A memorial service will be held in Minneapolis this… [+553 chars]",cnn,CNN
Opinion by Tammy Duckworth,Tammy Duckworth: Fight for the justice that George Floyd didn't get,"Senator Tammy Duckworth, reacting to the death of George Floyd, writes that we need legislation that encourages every state to establish a transparent system where an independent prosecutor reviews police uses of force and prosecutes officers who break the ve…",https://www.cnn.com/2020/06/01/opinions/fight-for-justice-for-george-floyd-duckworth/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601165142-02-floyd-protests-0601-terrence-floyd-super-tease.jpg,2020-06-01T23:32:16Z,"Tammy Duckworth, a democrat, is a Senator from Illinois. The opinions expressed in this commentary are solely her own. View more opinion articles on CNN.
 (CNN)First, he said ""I can't breathe.""
The… [+5920 chars]",cnn,CNN
"Liz Szabo, Kaiser Health News",ICUs become a 'delirium factory' for Covid-19 patients,Coronavirus can damage the brain in a number of ways.,https://www.cnn.com/2020/06/01/health/brain-coronavirus-delirium-kaiser/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601174653-02-coronavirus-brain-delirium-kaiser-super-tease.jpg,2020-06-01T23:30:08Z,,cnn,CNN
"Alicia Lee, CNN",Chicago zoo says its animals are safe and accounted for after rumors that some had escaped,"In what seems like a scene straight out of the movie ""Madagascar,"" social media roared with rumors of animals on the loose Sunday night after looters supposedly broke into Lincoln Park Zoo in Chicago.",https://www.cnn.com/2020/06/01/us/lincoln-park-zoo-animals-looted-false-chicago-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601170220-lincoln-park-zoo-file-restricted-super-tease.jpg,2020-06-01T23:16:40Z,"(CNN)In what seems like a scene straight out of the movie ""Madagascar,"" social media roared with rumors of animals on the loose Sunday night after people supposedly broke into Lincoln Park Zoo in Chi… [+1544 chars]",cnn,CNN
,Tear gas fired at peaceful protesters outside of White House,"Peaceful protesters in Washington were tear gased outside of the White House just minutes before President Donald gave a speech in the Rose Garden declaring he will mobilize the US military to end ""riots and lawlessness.""",https://www.cnn.com/videos/politics/2020/06/01/white-house-protesters-donald-trump-white-speech-sot-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200601185941-protesters-wh-super-tease.jpg,2020-06-01T23:08:13Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn,CNN
"Ryan Browne, Alicia Lee and Renee Rigdon, CNN","There are as many National Guard members activated in the US as there are active duty troops in Iraq, Syria and Afghanistan","More than 17,000 National Guard members are supporting the protest unrest response, which represents approximately the same number of active duty troops deployed in Iraq, Syria and Afghanistan",https://www.cnn.com/2020/06/01/us/national-guard-protests-states-map-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601163658-national-guard-deployed-super-tease.jpg,2020-06-01T22:59:44Z,"By Ryan Browne, Alicia Lee and Renee Rigdon, CNN
Updated 6:59 PM ET, Mon June 1, 2020
Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
As thousands across … [+2169 chars]",cnn,CNN
"By Nick Paton Walsh, CNN",World-famous beach emptied by coronavirus,"Rio de Janeiro's seafront is closed. Face masks are mandatory. The shops, restaurants and bars are closed. Covid-19 has brought out the cop in Copacabana. Even the music is silent, replaced by police sirens, warning reluctant locals to get off the beach.",https://www.cnn.com/travel/article/brazil-copacabana-empty-coronavirus/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601141358-copacabana-empty-beaches-super-tease.jpg,2020-06-01T22:38:48Z,"Nick Paton Walsh, CNNPublished 1st June 2020
Rio de Janeiro (CNN) Miguel Oliveira firmly pushes down on the limes and sugar in the cocktail shaker, for the first time that day. It's noon, and this, … [+3130 chars]",cnn,CNN
,Limbaugh does not believe white privilege exists,"When conservative radio host Rush Limbaugh said he did not believe in white privilege, the hosts of popular radio show ""The Breakfast Club"" pushed back.",https://www.cnn.com/videos/business/2020/06/01/rush-limbaugh-the-breakfast-club-white-privilege-orig.cnn-business,https://cdn.cnn.com/cnnnext/dam/assets/200601145554-charlamagne-the-god-rush-limbaugh-split-super-tease.jpg,2020-06-01T22:35:12Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn,CNN
"Manu Raju and Lauren Fox, CNN",GOP senators critical of Trump's response to unrest following Floyd's death,"Top GOP senators are calling on President Donald Trump to take a far more compassionate approach amid the deep unrest following the death of George Floyd in Minnesota, raising concerns that the President's erratic handling of the crisis so far threatens to di…",https://www.cnn.com/2020/06/01/politics/republican-reaction-floyd-death-congress/index.html,https://cdn.cnn.com/cnnnext/dam/assets/170515101540-01-john-cornyn-file-super-tease.jpg,2020-06-01T22:33:39Z,"(CNN)Top GOP senators are calling on President Donald Trump to take a far more compassionate approach amid the deep unrest following the death of George Floyd in Minnesota, raising concerns that the … [+4637 chars]",cnn,CNN
"Analysis by Lauren Dezenski, CNN",The Pompeo Senate speculation is officially over,Mike Pompeo is definitely not running for Senate this fall.,https://www.cnn.com/2020/06/01/politics/mike-pompeo-senate-kansas/index.html,https://cdn.cnn.com/cnnnext/dam/assets/170112112821-03-pompeo-testifies-0112-super-tease.jpg,2020-06-01T22:32:37Z,,cnn,CNN
"Katie Hunt, CNN","Social distancing and masks do reduce risk of getting Covid-19, major review finds","Stay 6 feet apart and, while you're at it, wear a face covering. While most countries around the world have instituted simple steps like these to help stop the spread of Covid-19, the scientific evidence behind them hasn't always been clear-cut and has, in th…",https://www.cnn.com/2020/06/01/health/review-masks-social-distancing-covid-19-wellness/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200529134111-circles-park-social-distancing-super-tease.jpg,2020-06-01T22:31:56Z,"(CNN)Stay 6 feet apart and, while you're at it, wear a face covering. 
The ""most comprehensive study to date"" found that physical distance and perhaps the use of a mask were the two best ways to pre… [+5824 chars]",cnn,CNN
"Allen Kim, CNN",Legendary Auburn football coach Pat Dye dies at 80,"Pat Dye, one of the winningest coaches in school history, died while in hospice care due to kidney and liver failure.",https://www.cnn.com/2020/06/01/us/pat-dye-death-spt-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601173140-01-pat-dye-obit-super-tease.jpg,2020-06-01T22:26:28Z,"(CNN)Legendary Auburn football coach Pat Dye, one of the winningest coaches in school history, died on Monday.
Dye, 80, passed away while in hospice care due to kidney and liver failure, Lee County … [+1768 chars]",cnn,CNN
"Ivana Kottasová, CNN",The sixth mass extinction is happening faster than expected. Scientists say it's our fault,"The sixth mass extinction is not a worry for the future. It's happening now -- much faster than previously expected -- and it's entirely our fault, according to a new study.",https://www.cnn.com/2020/06/01/world/sixth-mass-extinction-accelerating-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200531073021-01-amur-leopard-super-tease.jpg,2020-06-01T22:20:48Z,"(CNN)The sixth mass extinction is not a worry for the future. It's happening now, much faster than previously expected, and it's entirely our fault, according to a study published Monday.
Humans hav… [+3937 chars]",cnn,CNN
Josh Campbell,Illinois man faces multiple federal charges stemming from violent acts in Minneapolis,"Federal authorities have charged an Illinois man for civil disorder, carrying on a riot and possession of unregistered destructive devices associated with recent clashes between violent protesters and police in Minneapolis.",https://www.cnn.com/2020/06/01/politics/illinois-minneapolis-charges/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190305091821-01-us-department-of-justice-file-super-tease.jpg,2020-06-01T22:15:20Z,"(CNN)Federal authorities have charged an Illinois man for civil disorder, carrying on a riot and possession of unregistered destructive devices associated with recent clashes between violent proteste… [+1600 chars]",cnn,CNN
,Watch military-style vehicles move onto Pennsylvania Ave.,Military-style vehicles filled with national guard troops were seen rolling onto Pennsylvania Avenue near the White House.,https://www.cnn.com/videos/politics/2020/06/01/military-vehicles-pennsylvania-avenue-white-house-tsr-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200601174152-military-vehicles-wh-super-tease.jpg,2020-06-01T22:04:00Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn,CNN
